dataset,no_features,features,voting,bagging,svm_lin,svm_rbf,knn3,knn5,mlp
mammographic,0.794912958943751,0.7917879589437511,0.8105934617471513,0.7700621721830349,0.8023138225718937,0.826198114487249,0.826198114487249,0.7866440586001084,0.7709635557967083
abalone,0.19968447244935097,0.19371723395412746,0.25822674683577,0.22498506942331828,0.26403811640661756,0.2713052165635008,0.2713052165635008,0.20528946767418735,0.2161661834098109
balance,0.9823289097059588,0.9903447827218319,0.9182344522508457,0.8030783242258652,0.9167239136091595,0.9072274264897215,0.9072274264897215,0.8081329690346083,0.8321259432734843
yeast,0.546500393994408,0.533742067240911,0.5984832006533616,0.5802813467294031,0.5875342782280673,0.5964342754476943,0.5964342754476943,0.5598565624380932,0.5667567459524382
biodeg,0.8720277835372177,0.8720096413020941,0.880563618771166,0.85414921556431,0.873025952035386,0.8806000760246043,0.8806000760246043,0.8502128688921141,0.8549566314188954
tic_tac,0.9519389808283597,0.9582001718213059,0.8443903734852597,0.9540337312353048,0.6534495387954423,0.8933630629408571,0.8933630629408571,0.8328984671730874,0.8537658256465909
segmentation,0.9766666666666668,0.9780952380952381,0.9642857142857142,0.968095238095238,0.95,0.9361904761904762,0.9361904761904762,0.9480952380952381,0.9423809523809524
phishing_websites,0.8788888888888889,0.888888888888889,0.890909090909091,0.9099999999999999,0.8388888888888889,0.8809090909090911,0.8809090909090911,0.8097979797979798,0.8297979797979798
indian_liver,0.7066699478093247,0.6997995426907421,0.7087811580382868,0.7156505377997887,0.713597772924421,0.713597772924421,0.713597772924421,0.6706624832097778,0.6640632850390148
diabetic_retinppathy,0.7124362818590704,0.71332083958021,0.7106896551724138,0.682023988005997,0.7236956521739131,0.7020089955022489,0.7020089955022489,0.6255472263868066,0.6116266866566717
thoracic_surgery,0.7702127659574469,0.7872340425531916,0.848936170212766,0.825531914893617,0.8510638297872342,0.8510638297872342,0.8510638297872342,0.823404255319149,0.8382978723404255
house_votes_84,0.9588216047518372,0.9565488774791101,0.9611497030101681,0.9516812644719621,0.9704016913319238,0.9588241216148192,0.9588241216148192,0.9311738648947951,0.9312292358803986
australian,0.8319059797832177,0.8304146876141761,0.8507696991840215,0.8695061502862014,0.8508744367312143,0.8580172938740714,0.8580172938740714,0.8304360004871514,0.8434173669467787
ecoli,0.8131803087804037,0.8195311152320166,0.8672951167270426,0.8302167890616658,0.8664630925684056,0.86677006579758,0.86677006579758,0.8578416535235796,0.8525683851253112
ionoshpere,0.9174883286647993,0.9232913165266107,0.8949393090569562,0.9262278244631187,0.8724743230625585,0.9433053221288515,0.9433053221288515,0.8407002801120449,0.8408636788048552
glasss,0.7212932528950835,0.7264908813535815,0.7120109562443658,0.7485524582206504,0.6353402775713989,0.7104901582018286,0.7104901582018286,0.7256661416386817,0.6625257313243582
haberman,0.7005712365591397,0.6812163978494624,0.7193951612903225,0.7032795698924732,0.7253158602150538,0.7355376344086022,0.7355376344086022,0.6940120967741936,0.7133669354838709
letter_recognition,0.9689005322510577,0.969451724969032,0.9627501350297664,0.9339462970190452,0.8547529722902041,0.9486557105030151,0.9486557105030151,0.9503988734286297,0.9494002341389736
horse_colic,0.3037632402339533,0.2964840797289863,0.31508691899184255,0.33990816786338857,0.25513283877035997,0.35016589868032993,0.35016589868032993,0.260407175395503,0.29066779523061353
heart_statlog,0.7888888888888888,0.7814814814814814,0.825925925925926,0.7777777777777777,0.8333333333333334,0.837037037037037,0.837037037037037,0.8148148148148147,0.8222222222222223
hepatitis,0.8341911764705884,0.8463235294117648,0.8534068627450981,0.8024264705882352,0.852622549019608,0.8283088235294118,0.8283088235294118,0.8455882352941178,0.8341911764705884
connectionist_bench,0.856103896103896,0.8704112554112553,0.8508658008658008,0.7208441558441558,0.7353463203463203,0.8322943722943723,0.8322943722943723,0.8606493506493506,0.8168181818181818
waveform,0.8320050584361699,0.8330026695979293,0.8525895916874504,0.8203670445789353,0.8635852483840214,0.8607900212700453,0.8607900212700453,0.7595690836086052,0.7697787443803161
car_evaluation,0.9936481080605013,0.9924853173628267,0.9635556901990865,0.9843756394856154,0.7256631403994812,0.9218990648712643,0.9218990648712643,0.9218620955038738,0.9536985821713586
nursery,0.9987651928457669,0.9988422938480801,0.9659732055364006,0.9952932652307428,0.7668996815236503,0.9635045439194956,0.9635045439194956,0.9442910290753133,0.9157410265279303
credit_screening,0.8361064425770308,0.8375344050663743,0.8739179149920838,0.8463786384118863,0.8579125563268786,0.8710826939471442,0.8710826939471442,0.8508525149190111,0.853605529168189
german,0.715,0.718,0.739,0.744,0.7580000000000001,0.753,0.753,0.7040000000000002,0.7140000000000001
banknote,1.0,1.0,1.0,0.9912567438908283,0.983946895165556,1.0,1.0,0.9985401459854014,0.9985401459854014
wilt,0.9840866190707274,0.9849134948829338,0.9758200086047362,0.9828426737409665,0.9611492914675344,0.9809861604513411,0.9809861604513411,0.9712749782985309,0.9698286937788181
contraceptive,0.5023538415811102,0.4963048159412704,0.5186763386404831,0.5091611578349651,0.5125207122623034,0.5552918350088657,0.5552918350088657,0.454853305196756,0.48001505679436834
vertebral,0.7967741935483872,0.8096774193548388,0.8516129032258064,0.8096774193548388,0.8580645161290322,0.8580645161290322,0.8580645161290322,0.7903225806451614,0.8161290322580645
